Movie name,Year,Duration,Votes,Rating
1. The Shawshank Redemption,1994,2h 22m, (3.1M),9.3
2. The Godfather,1972,2h 55m, (2.1M),9.2
3. The Dark Knight,2008,2h 32m, (3M),9.0
4. The Godfather Part II,1974,3h 22m, (1.4M),9.0
5. 12 Angry Men,1957,1h 36m, (932K),9.0
6. The Lord of the Rings: The Return of the King,2003,3h 21m, (2.1M),9.0
7. Schindler's List,1993,3h 15m, (1.5M),9.0
8. Pulp Fiction,1994,2h 34m, (2.3M),8.8
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m, (2.1M),8.9
"10. Il buono, il brutto, il cattivo",1966,2h 41m, (858K),8.8
11. Forrest Gump,1994,2h 22m, (2.4M),8.8
12. The Lord of the Rings: The Two Towers,2002,2h 59m, (1.9M),8.8
13. Fight Club,1999,2h 19m, (2.5M),8.8
14. Inception,2010,2h 28m, (2.7M),8.8
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m, (1.4M),8.7
16. The Matrix,1999,2h 16m, (2.2M),8.7
17. GoodFellas,1990,2h 25m, (1.3M),8.7
18. Interstellar,2014,2h 49m, (2.4M),8.7
19. One Flew Over the Cuckoo's Nest,1975,2h 13m, (1.1M),8.7
20. Se7en,1995,2h 7m, (1.9M),8.6
21. It's a Wonderful Life,1946,2h 10m, (529K),8.6
22. The Silence of the Lambs,1991,1h 58m, (1.6M),8.6
23. Shichinin no samurai,1954,3h 27m, (386K),8.6
24. Saving Private Ryan,1998,2h 49m, (1.6M),8.6
25. Cidade de Deus,2002,2h 10m, (840K),8.6
